Date,Open,High,Low,Close,Volume,Adj Close
1/2/2018,58.59999847,59.5,58.52550125,59.45050049,53890000,59.45050049
1/3/2018,59.41500092,60.2745018,59.41500092,60.20999908,62176000,60.20999908
1/4/2018,60.25,60.79349899,60.23300171,60.47949982,60442000,60.47949982
1/5/2018,60.87549973,61.45700073,60.5,61.45700073,70894000,61.45700073
1/8/2018,61.79999924,62.65399933,61.60150146,62.34349823,85590000,62.34349823
1/9/2018,62.84500122,62.96649933,62.08800125,62.63499832,73226000,62.63499832
1/10/2018,62.25749969,62.71649933,61.86149979,62.71649933,53720000,62.71649933
1/11/2018,62.98699951,63.83850098,62.82300186,63.83399963,62500000,63.83399963
1/12/2018,63.66949844,65.28800201,63.66949844,65.26000214,108874000,65.26000214
1/16/2018,66.15000153,66.99700165,64.61499786,65.24299622,144414000,65.24299622
1/17/2018,65.61199951,65.69999695,64.04399872,64.75,105076000,64.75
1/18/2018,64.69750214,65.23000336,64.2009964,64.66600037,80538000,64.66600037
1/19/2018,65.59999847,65.65000153,64.64949799,64.72899628,91570000,64.72899628
1/22/2018,64.85849762,66.37249756,64.83300018,66.3655014,82802000,66.3655014
1/23/2018,66.90450287,68.24500275,66.86699677,68.1269989,103386000,68.1269989
1/24/2018,68.74099731,69.40799713,66.90000153,67.87550354,136150000,67.87550354
1/25/2018,68.40000153,68.91699982,67.8809967,68.89749908,95060000,68.89749908
1/26/2018,69.60050201,70.12650299,69.04550171,70.10250092,97146000,70.10250092
1/29/2018,70.45899963,71.56950378,70.02200317,70.88400269,114038000,70.88400269
1/30/2018,70.15850067,71.96250153,69.59999847,71.89099884,117438000,71.89099884
1/31/2018,72.56500244,73.6289978,72.5019989,72.54450226,128494000,72.54450226
2/1/2018,72.25,72.9940033,69.25700378,69.5,182276000,69.5
2/2/2018,73.86949921,74.90000153,70.69999695,71.49749756,222514000,71.49749756
2/5/2018,70.1309967,72.9489975,66.03600311,69.5,229900000,69.5
2/6/2018,68.07299805,72.19950104,67.58950043,72.14199829,221336000,72.14199829
2/7/2018,72.44999695,73.04949951,70.75749969,70.83899689,143254000,70.83899689
2/8/2018,71.48400116,71.6875,67.49700165,67.52500153,171572000,67.52500153
2/9/2018,68.67449951,69.17500305,63.29650116,66.98000336,282830000,66.98000336
2/12/2018,68.23349762,69.69049835,67.20050049,69.31150055,134778000,69.31150055
2/13/2018,69.29650116,70.98600006,69.17649841,70.72550201,118358000,70.72550201
2/14/2018,70.3125,72.60299683,70.16799927,72.55249786,119184000,72.55249786
2/15/2018,73.34449768,73.4469986,71.84200287,73.08799744,113054000,73.08799744
2/16/2018,72.86849976,73.29000092,72.32800293,72.43450165,89452000,72.43450165
2/20/2018,72.32450104,74.43849945,72.32450104,73.41750336,129984000,73.41750336
2/21/2018,74.25,75.17449951,73.94599915,74.14600372,126088000,74.14600372
2/22/2018,74.76799774,75.1269989,73.78800201,74.26699829,97162000,74.26699829
2/23/2018,74.76699829,75,74.32499695,75,88362000,75
2/26/2018,75.45999908,76.14199829,75.34999847,76.09750366,99100000,76.09750366
2/27/2018,76.22499847,76.33899689,75.36049652,75.59899902,96176000,75.59899902
2/28/2018,75.97550201,76.43499756,75.59999847,75.62249756,90300000,75.62249756
3/1/2018,75.68000031,75.92449951,73.25,74.67250061,136704000,74.67250061
3/2/2018,73.45500183,75.05249786,72.75050354,75.01249695,131752000,75.01249695
3/5/2018,74.71199799,76.26899719,74.05000305,76.18049622,104678000,76.18049622
3/6/2018,76.66000366,77.10649872,76.40000153,76.88200378,91234000,76.88200378
3/7/2018,76.3259964,77.29499817,76.12550354,77.25,83482000,77.25
3/8/2018,77.5,77.7440033,77.26249695,77.59300232,77252000,77.59300232
3/9/2018,78.17500305,78.9469986,77.95400238,78.94450378,90686000,78.94450378
